filename,content
pdf-documents/Forest Service burn piles.pdf,"Forest Service burn piles

Tuesday, December 08, 2015

9:54 AM

Subject

Forest Service burn piles

From

Jackson, William F -FS

To

Cc

brownellbailey@gmail.com

Wilmore, Ross D -FS

Sent

Monday, April 27, 2015 3:39 PM

Mr. Bailey,

I wanted to follow up with you about the hand piles located on National Forest System lands 

adjacent to Spruce Valley Ranch. The plan is to burn these piles next fall/winter 2015-16 once there is 
snow on the ground. The decision was made not to burn them this winter because of the amount of 
green/wet wood in the piles. Piles that are too green/wet will only partially consume thus leaving  a 
slightly smaller pile of half burnt logs. We tried burning a few green piles this past winter but didn’t 
have much luck. By waiting until next fall/winter to burn them this will make the pile burning more 
effective at consuming the woody material. Similar piles burned in Summit County that had been 
allowed to cure properly consumed 90-98% of the material with very little material left on site. This 
meets the project objective of reducing potential of future wildfires and restoring forest health. We 
recognize the delay is an inconvenience for the Spruce Valley Ranch homeowners but the long term 
results of the project will be better for the forest and the adjacent landowners .   

All the burning will be implemented with experienced firefighters under the direction of a 
qualified Burn Boss. The Burn Boss works with the National Weather Service to burn only on days when 
the smoke gets up and out of the area as much as possible to minimize negative impacts. We will get 
the word out to the HOA before pile burning operations start next winter.  Thanks for your 
understanding. Feel free to contact me at my number below or Ross Wilmore, Fire Management 
Officer, at 970-328-5867 if you have any questions or concerns. Bill 

Bill Jackson 
District Ranger

Forest Service 
White River National Forest, Dillon Ranger District

p: 970-262-3451 
c: 970-389-2460 
f: 970-468-7735 
wfjackson@fs.fed.us

680 Blue River Parkway (PO Box 620) 
Silverthorne, CO 80498
www.fs.fed.us

Caring for the land and serving people

General Page 1

   
   
"
pdf-documents/April 3 - Dillon Veg project activity meeting.pdf,"April 3 - Dillon Veg project activity meeting

Tuesday, December 08, 2015

8:44 AM

Subject

April 3 - Dillon Veg project activity meeting

From

Green, Cary -FS

To

Cc

Wilmore, Ross D -FS; Keller, Cynthia P -FS; Limberis, Shelby L -FS; Cunning, Ken -FS; Braudis, Michael P -FS; Waugh, 
Ken -FS

Jackson, William F -FS

Sent

Monday, March 30, 2015 11:33 AM

Bill has a 9:00-11:00 am slot open on Friday April 3rd to discuss the needs of the district in terms of 
transparency, project activities, fuels monitoring and our ability/desire to react to public comments 
related to vegetation management activities.

Let me know if you can attend.

We will be discussing current and future ways of:
Notifying the public of current activities (press releases, website, project specific signs, etc)
Response to public comments
Monitoring (did we do what we said we were going to do)
Additional workload and relationship to program of work/current funding

Let me know if you can make it.

Thanks - Cary

General Page 1

   
   
"
pdf-documents/7 Day Staffing.pdf,"7 Day Staffing

Tuesday, December 08, 2015

9:57 AM

Subject

7 Day Staffing

From

Conrad, Justin D -FS

To

Cc

Wilmore, Ross D -FS; Neely, David -FS; Mayville, Aaron W -FS; Keller, Cynthia P -FS; Jackson, William F -FS; Ayres, 
Todd -FS; Barker, Emily R -FS; Flynn, Mary P -FS; Hughes, Eric -FS; King, Todd -FS; White, Eric C -FS

arobb@blm.gov; gjcdispatch@gmail.com

Sent

Wednesday, May 27, 2015 4:09 PM

All, EZ fire will begin seven day staffing on June 14th. Our hours will be 0930 to 1800 daily.
Thanks,

Justin D. Conrad 
Assistant Fire Management Officer

Forest Service 
White River National Forest, Upper Colorado River Fire Management

p: 970-328-5940 
c: 970-596-2549 
f: 970-328-6448 
jconrad@fs.fed.us

PO Box 720
Eagle, CO 81631
www.fs.fed.us

Caring for the land and serving people

General Page 1

   
   
"
pdf-documents/EZ Pile campaign update PP3.pdf,"EZ Pile campaign update PP3

Tuesday, December 08, 2015

9:48 AM

Subject

EZ Pile campaign update PP3

From

To

Wilmore, Ross D -FS

Mayville, Aaron W -FS; Keller, Cynthia P -FS; Green, Cary -FS; Burke, Jan -FS; Haskins, Wendy -FS; Provencio, 
Heather C -FS; arobb@blm.gov; Conrad, Justin D -FS; White, Eric C -FS; lwjohnso@blm.gov; Wilmore, Brenda L -FS; 
Hughes, Eric -FS; Jackson, William F -FS; Coffin, Ken W -FS; Flynn, Mary P -FS; Ayres, Todd -FS; Barrett, Ian -FS

Sent

Monday, February 23, 2015 4:07 PM

Attachme
nts

All, 

K-R_piles

Pay Period 3 wasn’t quite as spectacular as PP2, but every pile on our list in Keystone is now gone. We 
also kept burning in Breckenridge; progress is slow, but the Red, White and Blue fire chief told me Friday 
that his residents are very happy to see smoke in the air and piles disappearing. We added 255 piles to 
the count for a total of 2,339 to date; our treated acres estimate now stands at 283.5.

We are still rolling up PP3 costs, but we’d spent $33,238 at the end of PP2 for a per-acre total of 
$140. This is $40/acre less than PP1, and I expect the number to drop further.

We received a smoke permit for the Mt Powell project area today, and we’re hoping to finish those piles 
this week. We are looking to snowmachine into Tigiwon next week; we have about 100 large machine 
piles to take care of up there. We’ll head back to Breckenridge once those are done.

The attached pic from Keystone Ranch is my new desktop background……holler with questions!   ---Ross

Ross D. Wilmore 
East Zone Fire Management Officer, UCR

Forest Service 
White River National Forest

p: 970-328-5867 
c: 970-948-5766 
f: 970-328-6448 
rwilmore@fs.fed.us

125 W. 5th St./PO Box 720 
Eagle, CO 81631
www.fs.fed.us

Caring for the land and serving people

General Page 1

   
   
"
pdf-documents/BOCC to Howard Brown May 2015 from Karn.pdf,"BOCC to Howard Brown May 2015.docx

Tuesday, December 08, 2015

8:22 AM

Subject

BOCC to Howard Brown May 2015.docx

From

To

Sent

Attachments

KarnS

Jackson, William F -FS

Thursday, May 07, 2015 8:14 PM

BOCC to
Howard B...

ATT00001

Hi Bill,
I wanted to be sure you got a copy of our response. We were slow to keep you in the loop on the 
petition....

General Page 1

   
   
"
pdf-documents/presentation.pdf,"powerpoint

Tuesday, December 08, 2015

9:33 AM

Subject

powerpoint

From

To

Sent

Attachments

Green, Cary -FS

Jackson, William F -FS

Friday, May 01, 2015 10:58 AM

SumCo
Forest He...

Bill – here is a powerpoint presentation from last fall that I presented to Summit County citizens. Has 
some of the data you were asking for earlier.

Cary

Cary Green, Forester 
East Zone TMA

Forest Service 
White River National Forest, Eagle/Holy Cross Ranger District

p: 970-827-5160 
c: 970-390-3234 
f: 970-827-9343 
cgreen@fs.fed.us

24747 US Highway 24, PO Box 190 
Minturn, CO 81645
www.fs.fed.us

Caring for the land and serving people

General Page 1

   
   
"
pdf-documents/BOCC to Howard Brown May 2015.pdf,"Board of County Commissioners 

970-453-2561 
Post Office Box 68 
208 East Lincoln Avenue 
Breckenridge, Colorado 80424 

May 7, 2015 

Mr. Howard Brown 
376 Spring Beauty Dr. 
P.O. Box 25621 
Silverthorne, CO 80497-5621 

Dear Mr. Brown, 

We are writing to you in response to the petition you submitted to the Summit Board of County Commissioners 
on April 14 regarding potential impacts to the Peaks Trail by the U.S. Forest Service’s Ophir Mountain Forest 
Health and Fuels Reduction Project. 

We certainly share your strong concerns for forest health, wildfire protection, recreational resources and wildlife, 
and we thank you for your input on the Ophir Mountain Project. However, we don’t share your view that the 
project’s implementation should be delayed in order to re-evaluate its merits. 

It is our view that the U.S.F.S Ophir Mountain Project makes sound use of the best available science, a solid 
understanding of current conditions and extensive input from stakeholders and the general public to address 
wildfire protection and forest health goals in the wake of the mountain pine beetle epidemic. Representatives of 
Summit County government, including the BOCC, communicate regularly and work closely with experts from the 
U.S. Forest Service, the Colorado State Forest Service, local fire districts, local municipalities and other partners 
to ensure that all agencies’ fuels reduction and forest health activities are carried out in accordance with the 
Summit County Community Wildfire Protection Plan. And we remain confident in the CWPP’s objectives, 
actions, policies and programs. We firmly believe that these objectives, actions, policies and programs are 
essential in protecting lives, property, infrastructure, water supplies, recreational resources, natural resources, the 
local economy and our cherished way of life in Summit County for the long term. 

Sincerely, 

Karn Stiegelmeier 
Summit County Commissioner 

Thomas C. Davidson 
Summit County Commissioner 

Dan Gibbs 
Summit County Commissioner 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
"
pdf-documents/2016-2020 Denver Water 5 year plan proposals - reply due May 28th.pdf,"2016-2020 Denver Water 5 year plan proposals - reply 
due May 28th

Tuesday, December 08, 2015

8:18 AM

Subject

2016-2020 Denver Water 5 year plan proposals - reply due May 28th

From

Green, Cary -FS

To

Cc

Grove, Matthew A -FS; Elzinga, Stephen -FS; Anderson, Justin K -FS; Weinhold, Mark R -FS; Nettles, Ashley -FS; 
Ebbert, Cynthia K -FS; lwjohnso@blm.gov; Wilmore, Ross D -FS

Jackson, William F -FS; Keller, Cynthia P -FS

Sent

Monday, May 11, 2015 4:08 PM

The forest has a great opportunity to acquire funding for watershed maintenance and restoration 
treatments with objectives of providing clean water from the Blue River Headwaters. Over the last five 
years, funding was primarily focused on vegetation treatments to reduce the impacts of wildfire in the 
Upper Blue watershed.

Most of you submitted some brief proposals a couple months ago that could potentially be funded with 
Denver Water Board (DWB) partnership money 3026-2020. Denver Water was interested, but not 
committed to the proposals, they wanted more detailed information on road decommissioning, trail 
decommissioning, reforestation, noxious weed treatments, stream improvements, etc.

DWB is looking to fund implementation of projects, not planning (NEPA).

For 2016-2020 proposals, if you believe that it worth your effort for funding, DWB would like a proposal 
(one page or less project description) which includes:

Description of the Project
Where is the project going to occur and what year (created a table with the road #’s, trail #’s, miles, to 
be decommissioned or acres of nx weed treatments). The table should also show what is DWB funded 
and what would be USFS funded (or partner funded).
Why is it needed
How is it going to be accomplished
What are the benefits to watershed health
How are we going to know it’s effectiveness (monitoring plan)
Are there other partners involved
Estimated cost of project
Provide maps of the project (8.5 x 11”). The scale of the map 1:24000 if possible. The maps should 
display the roads or trails to be decommissioned by year (color code it for planned year).

If you can get this info to me by May 28th, I’ll submit it for further review and field trip review this 
summer.

This is a great opportunity to build your program with partnership funding.

Questions -let me know.

Thanks - Cary

General Page 1

   
   
Cary Green, Forester 
East Zone TMA

Forest Service 
White River National Forest, Eagle/Holy Cross Ranger District

p: 970-827-5160 
c: 970-390-3234 
f: 970-827-9343 
cgreen@fs.fed.us

24747 US Highway 24, PO Box 190 
Minturn, CO 81645
www.fs.fed.us

Caring for the land and serving people

General Page 2

   
   
"
pdf-documents/DWB_ProjectProposals_Recreation_5_29_15.pdf,"Forest Service Road Decommissioning 

Project Description 
Six miles of existing roads would be decommissioned over three years.  Road decommissioning 
is defined as: ""Activities that result in the stabilization and restoration of unneeded roads to a 
more natural state.""  The Forest Service identifies six levels of treatments for road 
decommissioning: 

1.  Block entrance (signs, barriers, rocks, logs, etc.) 
2.  Block entrances, scarify, water bar installation and revegetate. 
3.  Block entrances, fill ditches, outslope road, install water bars, scarify and revegetation. 
4.  Block for specified distance, remove structures, fill ditches, outslope road, install waterbars, 

scarify, and revegetate. 

5.  Re-contour for specified distance, remove structures, fill ditches, outslope remaining road, 

install waterbars, scarify and revegetate. 

6.  Full re-contouring, remove structures, and revegetate. 

Why is it needed? 
This project helps to implement the White River National Forest Travel Management Plan for which an 
EIS was completed in March 2011. One of the purposes of this planning process was to identify what is 
not on the official designated travel system and to be able to restore lands back to their natural state.  
Many of these roads were used for decades and are eroding.  They carry water and sediment and in 
some cases, directly impact streams.   

How is it going to be accomplished? 
In each of the three years identified, a contractor with heavy equipment would be hired to 
decommission the roads and close them to public use.  Forest staff would prepare and administer the 
contract.  Hand work would be accomplished using a 10-person youth crew as well as a one-day, 15-
person volunteer project.   

What are benefits to watershed health? 
Road decommissioning is used to reduce chronic sediment delivery, restore hillslope hydrology, and 
reduce impacts to aquatic, riparian, and terrestrial ecosystems of roads crossings. Roads often develop a 
water-repellent soil layer caused by lack of vegetative cover and changes in soil composition. Erosion, 
the formation of water channels beside the road, and increased sediment loads in nearby streams are 
common results of this process. Roads are also known to cause habitat fragmentation for wildlife which 
may alter animal survival, reproductive success, and movement patterns. 

Monitoring Plan/Effectiveness 
The roads would be monitored each year to determine if natural regeneration is occurring in the 
disturbed corridor and to ensure they have remained closed to public use.   If natural revegetation is not 
successful after two years, grass seeding will occur.   

Partners: Potential partners would include Friends of the Dillon Ranger District and Rocky Mountain 
Youth Corps (RMYC).   

Match:  Annually, at least 90 hours of volunteer labor would be involved with the volunteer project.  
This has a value of $2076 ($23.07/hour).  Of the two weeks that RMYC would provide a 10-preson youth 

 
 
 
 
 
 
 
crew, one of those weeks would be funded by the National Forest Foundation Ski Conservation Fund 
($6,800).  The match amount is in addition to the funds requested.   

Project 
Year 

Road 
Name/Number 

2017 
2018 

2019 

Highway 6 
Miners 
Creek/Frisco 
Frey Gulch 

Miles  Contracts / 
Agreements 
Cost 
$40,000 
$40,000 

2 
2 

Administrative 
Cost 

Total Cost 

Match 

$5,000 
$5,000 

$50,000 
$50,000 

$8,876 
$8,876 

2 

$40,000 

$5,000 

$50,000 

$8,876 

Project: Road Decommissioning 

Frey Gulch Road Decomm 

Mt. Royal/Frisco Road 
Decomm 

 
 
 
 
 
 
 
 
 
 
Forest Service Trail Decommissioning 

Project Description 
Seven miles of trail would be decommissioned over three years.  Trail decommissioning is 
closing and restoring routes that the Forest has decided to be closed because they are 
unsustainable and no longer needed.   

Why is it needed? 
This project helps to implement the White River National Forest Travel Management Plan for which an 
EIS was completed in March 2011. One of the purposes of this planning process was to identify what is 
not on the official designated travel system and to be able to restore lands back to their natural state. 
Some of the reasons for trail decommissioning are: 

  Closing unsustainable routes that are causing resource damage. 
  Closing duplicate routes. 
  Closing routes that are impacting wildlife habitat. 

How is it going to be accomplished? 
For each of the three years identified, a Rocky Mountain Youth Corp crew would be used to close the 
trails and accomplish the restoration work.  Additionally, a one-day, 15-person Friends of the Dillon 
Ranger District (FDRD) volunteer project would be conducted.  Forest staff would coordinate these 
projects.   

What are benefits to watershed health? 
Trail decommissioning can provide protection to water, stream, meadow and riparian resources. 
Restoration work will rehabilitate the damaged landscapes and aquatic resources to proper functioning 
conditions.   Waterbars or check dams will be installed where needed.  Compacted soil will be scarified 
to promote natural revegetation.   

Monitoring Plan/Effectiveness 
The trails would be monitored each year to determine if natural regeneration is occurring in the 
disturbed corridor and to ensure they have remained closed to public use.  If natural revegetation is not 
successful after two years, grass seeding will occur.   

Partners: Potential partners would include Friends of the Dillon Ranger District and Rocky Mountain 
Youth Corp (RMYC). 

Match:  Annually, at least 90 hours of volunteer labor would be involved with the volunteer project.  
This has a value of $2076 ($23.07/hour).  Of the two weeks that RMYC would provide a 10-preson youth 
crew, one of those weeks would be funded by the National Forest Foundation Ski Conservation Fund 
($6,800).  The match amount is in addition to the funds requested.   

Project Year 

Trail Name System 

Miles 

2016 
2017 
2018 

Frey Gulch Area 
Miners Creek/Frisco 
Ophir Mtn. Trail System 

2 
2 
2 

Agreement 
Cost 
$20,000 
$20,000 
$20,000 

Administrative 
Cost 
$5,000 
$5,000 
$5,000 

Total 
Cost 
$25,500 
$25,000 
$25,000 

Match 

$8,876 
$8,876 
$8,876 

 
 
 
 
 
 
 
 
 
 
Project: Trail Decommissioning 

Frey Gulch Trail Decomm 

Mt. Royal/Frisco Trail 
Decomm 

Ophir Mtn. Trail Decomm 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Forest Service Trail Drainage Improvements 

Project Description 
Sections of existing system trail lack proper drainage and are eroding.  Drainage structures 
(waterbars, check dams, drain dips, turnpikes, and puncheons) are needed to deter water from 
running down the trail.  Approximately 60 structures would be constructed over three years. 

Why is it needed? 
This project helps to implement the White River National Forest Travel Management Plan for which an 
EIS was completed in March 2011. The Forest chose to adopt several trails in three different systems.  
Most of these trails were not part of the Forest travel system and were not designed or maintained.  For 
the most part, these trails are sustainable, but contain sections that need maintenance.   

 How is it going to be accomplished? 
An existing agreement with the Friends of the Dillon Ranger District (FDRD) will be used to authorize and 
fund the work.  Three 15-person, one-day volunteer projects will be implemented in each of the three 
years identified.  Annually, at least one wood structure (puncheon or turnpike) and nineteen earthen 
structures (waterbars or check dams) would be constructed.  Forest and FDRD staff would coordinate 
the work.   

What are benefits to watershed health? 
Trail decommissioning can provide protection to water, stream, meadow and riparian resources. 
Restoration work will rehabilitate the damaged landscapes and aquatic resources to proper functioning 
conditions.  

Monitoring Plan/Effectiveness 
The trails would be monitored each year to determine if the structures are effect.  The District will be 
responsible for future maintenance.  For example, as waterbars catch sediment, it must be removed to 
ensure continued success of the structure.   

Partners: Potential partners are the Friends of the Dillon Ranger District and their volunteer base. 

Match:  Annually, at least 270 hours of volunteer labor would be involved with the volunteer project.  
This has a value of $6,210 ($23.07/hour).   

Project 
Year 

2016 
2017 
2018 

Trail System 

# 
Structures 

Agreement 
Cost 

Salt Lick  
Mount Royal 
Horseshoe Gulch 

20 
20 
20 

$15,000 
$15,000 
$15,000 

FS 
Administrative / 
Materials Cost 
$5,000 
$5,000 
$5,000 

Total 
Cost 

Match 

$20,000 
$20,000 
$20,000 

$6,210 
$6,210 
$6,210 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Forest Service Trail Drainage Improvements 

Salt Lick Trail System 

Mt. Royal/Frisco Trail 
System 

Horseshoe Gulch Trail 
System 

 
 
 
 
 
 
 
 
"
pdf-documents/EZ Pile burning update PP2.pdf,"EZ Pile burning update PP2

Tuesday, December 08, 2015

9:47 AM

Subject

EZ Pile burning update PP2

From

Wilmore, Ross D -FS

To

Mayville, Aaron W -FS; Keller, Cynthia P -FS; Green, Cary -FS; Burke, Jan -FS; Haskins, Wendy -FS; Provencio, 
Heather C -FS; arobb@blm.gov; Conrad, Justin D -FS; White, Eric C -FS; lwjohnso@blm.gov; Wilmore, Brenda L -FS; 
Hughes, Eric -FS; Jackson, William F -FS; Coffin, Ken W -FS; Flynn, Mary P -FS; Ayres, Todd -FS; Barrett, Ian -FS

Sent

Friday, February 06, 2015 12:38 PM

I’ve been looking forward to writing this one.

We had some great days of burning in PP 2; we more than doubled our pile count and finished the 
Keystone East project. On Tuesday 2/3, EZ Fire and  a CCI crew lit off a record 636 piles, most of those in 
the Breckenridge Handtreatment 2013 project.  With the 220 we burned on 1/28, we’re up to 835 in 
that project area alone.

Our total now stands at 2,084, with over 300 of those either large hand- or machine-built piles. Our acre 
roll-up is not yet finished, but we believe we have at least 213 acres completed. I will update costs 
when I get those numbers next week.

We were able to use our nonstandard air quality permit on 2/3 and heard no complaints from the 
public. We got one neutral air quality comment from Robin Thoebald (one of our regulars) and will 
respond. Other feedback remains positive.

Questions, holler…..---Ross

Ross D. Wilmore 
East Zone Fire Management Officer, UCR

Forest Service 
White River National Forest

p: 970-328-5867 
c: 970-948-5766 
f: 970-328-6448 
rwilmore@fs.fed.us

125 W. 5th St./PO Box 720 
Eagle, CO 81631
www.fs.fed.us

Caring for the land and serving people

General Page 1

   
   
"
